row_id,compound_id,compound_name,disease_id,disease_name,label_source,label_semantics,compound_other_ctd_disease_count,compound_cpD_disease_count,compound_bound_gene_count,compound_upregulated_gene_count,compound_downregulated_gene_count,compound_side_effect_count,compound_pharmacologic_class_count,compound_resemblance_neighbor_count,compound_graph_degree,disease_other_ctd_compound_count,disease_cpD_compound_count,disease_graph_degree,has_compound_palliates_disease_edge,ctd_label
Compound::DB00178|Disease::DOID:9744,Compound::DB00178,Ramipril,Disease::DOID:9744,type 1 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,4,0,0,206,0,13,227,0,0,1,0,1
Compound::DB00186|Disease::DOID:11119,Compound::DB00186,Lorazepam,Disease::DOID:11119,Gilles de la Tourette syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,2,2,0,0
Compound::DB00186|Disease::DOID:784,Compound::DB00186,Lorazepam,Disease::DOID:784,chronic kidney failure,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,4,4,0,0
Compound::DB00187|Disease::DOID:10763,Compound::DB00187,Esmolol,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,2,5,13,118,0,16,155,67,0,68,0,1
Compound::DB00188|Disease::DOID:418,Compound::DB00188,Bortezomib,Disease::DOID:418,systemic scleroderma,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,2,1,3,0,0
Compound::DB00188|Disease::DOID:9970,Compound::DB00188,Bortezomib,Disease::DOID:9970,obesity,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00190|Disease::DOID:14330,Compound::DB00190,Carbidopa,Disease::DOID:14330,Parkinson's disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00195|Disease::DOID:10763,Compound::DB00195,Betaxolol,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,1,263,0,11,281,67,0,68,0,1
Compound::DB00195|Disease::DOID:1686,Compound::DB00195,Betaxolol,Disease::DOID:1686,glaucoma,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,1,263,0,11,281,2,0,3,0,1
Compound::DB00195|Disease::DOID:8398,Compound::DB00195,Betaxolol,Disease::DOID:8398,osteoarthritis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,2,0,4,0,1,263,0,11,281,0,1,1,0,0
Compound::DB00204|Disease::DOID:784,Compound::DB00204,Dofetilide,Disease::DOID:784,chronic kidney failure,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,4,4,0,0
Compound::DB00214|Disease::DOID:10763,Compound::DB00214,Torasemide,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,1,5,2,6,58,1,0,74,67,0,68,0,1
Compound::DB00214|Disease::DOID:9352,Compound::DB00214,Torasemide,Disease::DOID:9352,type 2 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,1,5,2,6,58,1,0,74,22,0,22,0,0
Compound::DB00221|Disease::DOID:7148,Compound::DB00221,Isoetarine,Disease::DOID:7148,rheumatoid arthritis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00222|Disease::DOID:9352,Compound::DB00222,Glimepiride,Disease::DOID:9352,type 2 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,4,0,0,126,1,7,139,21,0,22,0,1
Compound::DB00226|Disease::DOID:10763,Compound::DB00226,Guanadrel,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,1,0,0,0,0,0,2,67,0,68,0,1
Compound::DB00226|Disease::DOID:12849,Compound::DB00226,Guanadrel,Disease::DOID:12849,autistic disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,1,0,0,0,0,0,2,0,1,1,0,0
Compound::DB00227|Disease::DOID:1936,Compound::DB00227,Lovastatin,Disease::DOID:1936,atherosclerosis,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,19,58,152,121,0,2,354,5,0,6,0,1
Compound::DB00227|Disease::DOID:3393,Compound::DB00227,Lovastatin,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,19,58,152,121,0,2,354,27,3,31,0,1
Compound::DB00232|Disease::DOID:1094,Compound::DB00232,Methyclothiazide,Disease::DOID:1094,attention deficit hyperactivity disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,4,4,0,2,2,0,0
Compound::DB00233|Disease::DOID:12849,Compound::DB00233,Aminosalicylic Acid,Disease::DOID:12849,autistic disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00233|Disease::DOID:1686,Compound::DB00233,Aminosalicylic Acid,Disease::DOID:1686,glaucoma,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,3,0,3,0,0
Compound::DB00247|Disease::DOID:7148,Compound::DB00247,Methysergide,Disease::DOID:7148,rheumatoid arthritis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00264|Disease::DOID:10763,Compound::DB00264,Metoprolol,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,6,5,2,181,0,14,209,67,0,68,0,1
Compound::DB00264|Disease::DOID:14330,Compound::DB00264,Metoprolol,Disease::DOID:14330,Parkinson's disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,6,5,2,181,0,14,209,0,1,1,0,0
Compound::DB00270|Disease::DOID:10763,Compound::DB00270,Isradipine,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,8,1,5,106,2,9,132,67,0,68,0,1
Compound::DB00275|Disease::DOID:10763,Compound::DB00275,Olmesartan,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,0,167,0,8,181,67,0,68,0,1
Compound::DB00275|Disease::DOID:11612,Compound::DB00275,Olmesartan,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,2,0,4,0,0,167,0,8,181,1,0,1,0,0
Compound::DB00275|Disease::DOID:3393,Compound::DB00275,Olmesartan,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,0,167,0,8,181,27,3,31,0,1
Compound::DB00289|Disease::DOID:585,Compound::DB00289,Atomoxetine,Disease::DOID:585,nephrolithiasis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00310|Disease::DOID:10763,Compound::DB00310,Chlorthalidone,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,10,3,2,65,1,8,90,67,0,68,0,1
Compound::DB00331|Disease::DOID:11612,Compound::DB00331,Metformin,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,56,8,22,139,1,0,229,0,0,1,0,1
Compound::DB00331|Disease::DOID:14221,Compound::DB00331,Metformin,Disease::DOID:14221,metabolic syndrome X,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,56,8,22,139,1,0,229,0,0,1,0,1
Compound::DB00331|Disease::DOID:9352,Compound::DB00331,Metformin,Disease::DOID:9352,type 2 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,56,8,22,139,1,0,229,21,0,22,0,1
Compound::DB00335|Disease::DOID:6364,Compound::DB00335,Atenolol,Disease::DOID:6364,migraine,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,6,6,3,1,4,0,0
Compound::DB00350|Disease::DOID:10763,Compound::DB00350,Minoxidil,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,4,2,0,0,1,0,8,67,0,68,0,1
Compound::DB00368|Disease::DOID:10763,Compound::DB00368,Norepinephrine,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,68,0,68,0,0
Compound::DB00373|Disease::DOID:10763,Compound::DB00373,Timolol,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,6,3,3,218,0,3,237,67,0,68,0,1
Compound::DB00373|Disease::DOID:1094,Compound::DB00373,Timolol,Disease::DOID:1094,attention deficit hyperactivity disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,4,0,6,3,3,218,0,3,237,0,2,2,0,0
Compound::DB00373|Disease::DOID:1686,Compound::DB00373,Timolol,Disease::DOID:1686,glaucoma,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,6,3,3,218,0,3,237,2,0,3,0,1
Compound::DB00373|Disease::DOID:6364,Compound::DB00373,Timolol,Disease::DOID:6364,migraine,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,6,3,3,218,0,3,237,2,1,4,0,1
Compound::DB00374|Disease::DOID:784,Compound::DB00374,Treprostinil,Disease::DOID:784,chronic kidney failure,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,4,4,0,0
Compound::DB00378|Disease::DOID:14330,Compound::DB00378,Dydrogesterone,Disease::DOID:14330,Parkinson's disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00381|Disease::DOID:10763,Compound::DB00381,Amlodipine,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,1,21,60,32,155,2,9,281,67,0,68,0,1
Compound::DB00384|Disease::DOID:10763,Compound::DB00384,Triamterene,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,5,1,4,28,2,1,42,67,0,68,0,1
Compound::DB00384|Disease::DOID:1936,Compound::DB00384,Triamterene,Disease::DOID:1936,atherosclerosis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,5,1,4,28,2,1,42,6,0,6,0,0
Compound::DB00391|Disease::DOID:11612,Compound::DB00391,Sulpiride,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00396|Disease::DOID:13378,Compound::DB00396,Progesterone,Disease::DOID:13378,Kawasaki disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,2,2,1,0,1,0,0
Compound::DB00401|Disease::DOID:0050425,Compound::DB00401,Nisoldipine,Disease::DOID:0050425,restless legs syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,11,9,9,155,3,10,198,0,1,1,0,0
Compound::DB00401|Disease::DOID:12930,Compound::DB00401,Nisoldipine,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,11,9,9,155,3,10,198,3,0,3,0,0
Compound::DB00421|Disease::DOID:10763,Compound::DB00421,Spironolactone,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,11,3,4,56,1,17,94,67,0,68,0,1
Compound::DB00421|Disease::DOID:12930,Compound::DB00421,Spironolactone,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,11,3,4,56,1,17,94,2,0,3,0,1
Compound::DB00421|Disease::DOID:14221,Compound::DB00421,Spironolactone,Disease::DOID:14221,metabolic syndrome X,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,2,0,11,3,4,56,1,17,94,1,0,1,0,0
Compound::DB00436|Disease::DOID:10763,Compound::DB00436,Bendroflumethiazide,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,6,1,2,34,2,6,52,67,0,68,0,1
Compound::DB00457|Disease::DOID:10763,Compound::DB00457,Prazosin,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,18,1,1,66,0,3,90,67,0,68,0,1
Compound::DB00457|Disease::DOID:11714,Compound::DB00457,Prazosin,Disease::DOID:11714,gestational diabetes,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,18,1,1,66,0,3,90,1,0,1,0,0
Compound::DB00476|Disease::DOID:11119,Compound::DB00476,Duloxetine,Disease::DOID:11119,Gilles de la Tourette syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,2,2,0,0
Compound::DB00476|Disease::DOID:3393,Compound::DB00476,Duloxetine,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,28,3,31,0,0
Compound::DB00477|Disease::DOID:11119,Compound::DB00477,Chlorpromazine,Disease::DOID:11119,Gilles de la Tourette syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,2,2,0,0
Compound::DB00479|Disease::DOID:11714,Compound::DB00479,Amikacin,Disease::DOID:11714,gestational diabetes,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00479|Disease::DOID:13378,Compound::DB00479,Amikacin,Disease::DOID:13378,Kawasaki disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00479|Disease::DOID:8398,Compound::DB00479,Amikacin,Disease::DOID:8398,osteoarthritis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00484|Disease::DOID:12849,Compound::DB00484,Brimonidine,Disease::DOID:12849,autistic disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Compound::DB00484|Disease::DOID:12930,Compound::DB00484,Brimonidine,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,3,0,3,0,0
Compound::DB00484|Disease::DOID:14221,Compound::DB00484,Brimonidine,Disease::DOID:14221,metabolic syndrome X,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00491|Disease::DOID:13378,Compound::DB00491,Miglitol,Disease::DOID:13378,Kawasaki disease,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,5,0,0,23,1,1,31,1,0,1,0,0
Compound::DB00491|Disease::DOID:9352,Compound::DB00491,Miglitol,Disease::DOID:9352,type 2 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,5,0,0,23,1,1,31,21,0,22,0,1
Compound::DB00492|Disease::DOID:10763,Compound::DB00492,Fosinopril,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,3,1,0,264,0,7,276,67,0,68,0,1
Compound::DB00507|Disease::DOID:11714,Compound::DB00507,Nitazoxanide,Disease::DOID:11714,gestational diabetes,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00519|Disease::DOID:10763,Compound::DB00519,Trandolapril,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,0,198,0,13,217,67,0,68,0,1
Compound::DB00519|Disease::DOID:3393,Compound::DB00519,Trandolapril,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,4,0,0,198,0,13,217,27,3,31,0,1
Compound::DB00524|Disease::DOID:10763,Compound::DB00524,Metolazone,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,7,0,1,111,1,6,127,67,0,68,0,1
Compound::DB00542|Disease::DOID:10763,Compound::DB00542,Benazepril,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,4,0,1,101,1,17,125,67,0,68,0,1
Compound::DB00562|Disease::DOID:13189,Compound::DB00562,Benzthiazide,Disease::DOID:13189,gout,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,5,5,0,1,1,0,0
Compound::DB00562|Disease::DOID:9970,Compound::DB00562,Benzthiazide,Disease::DOID:9970,obesity,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,5,5,1,0,1,0,0
Compound::DB00571|Disease::DOID:10763,Compound::DB00571,Propranolol,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,16,1,2,112,0,29,162,67,0,68,0,1
Compound::DB00571|Disease::DOID:6364,Compound::DB00571,Propranolol,Disease::DOID:6364,migraine,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,16,1,2,112,0,29,162,2,1,4,0,1
Compound::DB00575|Disease::DOID:10763,Compound::DB00575,Clonidine,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,4,18,2,12,186,1,5,230,67,0,68,0,1
Compound::DB00575|Disease::DOID:11612,Compound::DB00575,Clonidine,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,2,4,18,2,12,186,1,5,230,1,0,1,0,0
Compound::DB00575|Disease::DOID:1686,Compound::DB00575,Clonidine,Disease::DOID:1686,glaucoma,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,4,18,2,12,186,1,5,230,2,0,3,0,1
Compound::DB00579|Disease::DOID:11612,Compound::DB00579,Mazindol,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00584|Disease::DOID:10763,Compound::DB00584,Enalapril,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,8,7,28,200,1,13,259,67,0,68,0,1
Compound::DB00584|Disease::DOID:12849,Compound::DB00584,Enalapril,Disease::DOID:12849,autistic disorder,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,2,0,8,7,28,200,1,13,259,0,1,1,0,0
Compound::DB00584|Disease::DOID:3393,Compound::DB00584,Enalapril,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,8,7,28,200,1,13,259,27,3,31,0,1
Compound::DB00590|Disease::DOID:8398,Compound::DB00590,Doxazosin,Disease::DOID:8398,osteoarthritis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,11,1,0,256,0,4,273,0,1,1,0,0
Compound::DB00590|Disease::DOID:9970,Compound::DB00590,Doxazosin,Disease::DOID:9970,obesity,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,11,1,0,256,0,4,273,1,0,1,0,0
Compound::DB00594|Disease::DOID:10763,Compound::DB00594,Amiloride,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,12,0,0,90,2,0,105,67,0,68,0,1
Compound::DB00594|Disease::DOID:784,Compound::DB00594,Amiloride,Disease::DOID:784,chronic kidney failure,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,12,0,0,90,2,0,105,0,4,4,0,0
Compound::DB00598|Disease::DOID:12930,Compound::DB00598,Labetalol,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,4,0,0,133,0,23,161,3,0,3,0,0
Compound::DB00603|Disease::DOID:11714,Compound::DB00603,Medroxyprogesterone Acetate,Disease::DOID:11714,gestational diabetes,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,2,2,1,0,1,0,0
Compound::DB00606|Disease::DOID:418,Compound::DB00606,Cyclothiazide,Disease::DOID:418,systemic scleroderma,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,4,4,2,1,3,0,0
Compound::DB00621|Disease::DOID:14221,Compound::DB00621,Oxandrolone,Disease::DOID:14221,metabolic syndrome X,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Compound::DB00622|Disease::DOID:13189,Compound::DB00622,Nicardipine,Disease::DOID:13189,gout,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,1,0,26,5,4,108,2,10,156,0,1,1,0,0
Compound::DB00624|Disease::DOID:0050425,Compound::DB00624,Testosterone,Disease::DOID:0050425,restless legs syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,2,2,0,1,1,0,0
Compound::DB00627|Disease::DOID:1936,Compound::DB00627,Niacin,Disease::DOID:1936,atherosclerosis,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,10,2,3,177,1,2,197,5,0,6,0,1
Compound::DB00627|Disease::DOID:3393,Compound::DB00627,Niacin,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,10,2,3,177,1,2,197,27,3,31,0,1
Compound::DB00629|Disease::DOID:10763,Compound::DB00629,Guanabenz,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,0,0,5,4,3,181,1,1,196,67,0,68,0,1
Compound::DB00634|Disease::DOID:11612,Compound::DB00634,Sulfacetamide,Disease::DOID:11612,polycystic ovary syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,4,4,1,0,1,0,0
Compound::DB00641|Disease::DOID:1936,Compound::DB00641,Simvastatin,Disease::DOID:1936,atherosclerosis,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,18,159,250,143,0,2,574,5,0,6,0,1
Compound::DB00641|Disease::DOID:3393,Compound::DB00641,Simvastatin,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,18,159,250,143,0,2,574,27,3,31,0,1
Compound::DB00661|Disease::DOID:10763,Compound::DB00661,Verapamil,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,41,6,1,138,1,4,193,67,0,68,0,1
