source,metaedge,target
Compound::DB01113,CrC,Compound::DB00661
Compound::DB00178,CrC,Compound::DB01348
Compound::DB00584,CrC,Compound::DB00691
Compound::DB00945,CrC,Compound::DB01398
Compound::DB01023,CrC,Compound::DB01054
Compound::DB01403,CrC,Compound::DB00343
Compound::DB01098,CrC,Compound::DB01095
Compound::DB01580,CrC,Compound::DB01193
Compound::DB00571,CrC,Compound::DB01012
Compound::DB00381,CrC,Compound::DB04920
Compound::DB00722,CrC,Compound::DB01255
Compound::DB00796,CrC,Compound::DB01342
Compound::DB00678,CrC,Compound::DB01342
Compound::DB00575,CrC,Compound::DB00964
Compound::DB00573,CrC,Compound::DB00598
Compound::DB00968,CrC,Compound::DB00190
Compound::DB00335,CrC,Compound::DB00187
Compound::DB00571,CrC,Compound::DB01295
Compound::DB00672,CrC,Compound::DB00634
Compound::DB00584,CrC,Compound::DB00492
Compound::DB08893,CrC,Compound::DB00598
Compound::DB01214,CrC,Compound::DB01193
Compound::DB00960,CrC,Compound::DB01580
Compound::DB00966,CrC,Compound::DB00678
Compound::DB01429,CrC,Compound::DB00881
Compound::DB00647,CrC,Compound::DB00881
Compound::DB01580,CrC,Compound::DB00187
Compound::DB00866,CrC,Compound::DB00187
Compound::DB00999,CrC,Compound::DB00436
Compound::DB00636,CrC,Compound::DB01039
Compound::DB00866,CrC,Compound::DB01193
Compound::DB08860,CrC,Compound::DB01076
Compound::DB00839,CrC,Compound::DB01067
Compound::DB00839,CrC,Compound::DB01124
Compound::DB01241,CrC,Compound::DB08808
Compound::DB00687,CrC,Compound::DB00421
Compound::DB00790,CrC,Compound::DB00881
Compound::DB00421,CrC,Compound::DB00351
Compound::DB00571,CrC,Compound::DB01297
Compound::DB06274,CrC,Compound::DB00881
Compound::DB00691,CrC,Compound::DB00881
Compound::DB00391,CrC,Compound::DB01016
Compound::DB00423,CrC,Compound::DB01136
Compound::DB01185,CrC,Compound::DB00700
Compound::DB00401,CrC,Compound::DB06712
Compound::DB00584,CrC,Compound::DB01197
Compound::DB00335,CrC,Compound::DB01193
Compound::DB01244,CrC,Compound::DB00676
Compound::DB00843,CrC,Compound::DB00590
Compound::DB00712,CrC,Compound::DB00598
Compound::DB00549,CrC,Compound::DB01016
Compound::DB00571,CrC,Compound::DB01136
Compound::DB00519,CrC,Compound::DB00881
Compound::DB00178,CrC,Compound::DB00691
Compound::DB01120,CrC,Compound::DB01067
Compound::DB01340,CrC,Compound::DB00881
Compound::DB00284,CrC,Compound::DB01421
Compound::DB01115,CrC,Compound::DB00622
Compound::DB00492,CrC,Compound::DB01348
Compound::DB01182,CrC,Compound::DB00881
Compound::DB01274,CrC,Compound::DB00598
Compound::DB01069,CrC,Compound::DB00343
Compound::DB01420,CrC,Compound::DB00421
Compound::DB00876,CrC,Compound::DB00678
Compound::DB00521,CrC,Compound::DB01203
Compound::DB08996,CrC,Compound::DB00343
Compound::DB01246,CrC,Compound::DB00343
Compound::DB00999,CrC,Compound::DB01144
Compound::DB01297,CrC,Compound::DB00960
Compound::DB00700,CrC,Compound::DB00769
Compound::DB00678,CrC,Compound::DB01349
Compound::DB00420,CrC,Compound::DB00343
Compound::DB00519,CrC,Compound::DB00584
Compound::DB00695,CrC,Compound::DB00887
Compound::DB00691,CrC,Compound::DB01348
Compound::DB00841,CrC,Compound::DB00598
Compound::DB01124,CrC,Compound::DB00634
Compound::DB00396,CrC,Compound::DB00700
Compound::DB00562,CrC,Compound::DB00524
Compound::DB01125,CrC,Compound::DB00343
Compound::DB00571,CrC,Compound::DB00335
Compound::DB01146,CrC,Compound::DB01244
Compound::DB00396,CrC,Compound::DB00421
Compound::DB00284,CrC,Compound::DB00581
Compound::DB01029,CrC,Compound::DB00796
Compound::DB00774,CrC,Compound::DB00436
Compound::DB00968,CrC,Compound::DB00368
Compound::DB01023,CrC,Compound::DB00381
Compound::DB01251,CrC,Compound::DB00222
Compound::DB00178,CrC,Compound::DB00731
Compound::DB00880,CrC,Compound::DB00606
Compound::DB00571,CrC,Compound::DB00243
Compound::DB00222,CrC,Compound::DB01016
Compound::DB01182,CrC,Compound::DB01136
Compound::DB01029,CrC,Compound::DB01342
Compound::DB01124,CrC,Compound::DB00672
Compound::DB00706,CrC,Compound::DB01136
Compound::DB00731,CrC,Compound::DB00182
Compound::DB00945,CrC,Compound::DB00784
Compound::DB00381,CrC,Compound::DB01115
Compound::DB00524,CrC,Compound::DB00880
Compound::DB00579,CrC,Compound::DB00310
Compound::DB00741,CrC,Compound::DB00421
Compound::DB00571,CrC,Compound::DB00612
Compound::DB00243,CrC,Compound::DB01136
Compound::DB00678,CrC,Compound::DB01029
Compound::DB01089,CrC,Compound::DB00206
Compound::DB01214,CrC,Compound::DB00264
Compound::DB00575,CrC,Compound::DB00697
Compound::DB00973,CrC,Compound::DB01100
Compound::DB00571,CrC,Compound::DB06711
Compound::DB00571,CrC,Compound::DB00187
Compound::DB00284,CrC,Compound::DB00452
Compound::DB00966,CrC,Compound::DB00275
Compound::DB00374,CrC,Compound::DB01203
Compound::DB01295,CrC,Compound::DB00264
Compound::DB00586,CrC,Compound::DB01018
Compound::DB00195,CrC,Compound::DB00335
Compound::DB00571,CrC,Compound::DB00192
Compound::DB01428,CrC,Compound::DB00598
Compound::DB00672,CrC,Compound::DB01067
Compound::DB00562,CrC,Compound::DB00880
Compound::DB00731,CrC,Compound::DB06218
Compound::DB00839,CrC,Compound::DB01120
Compound::DB00571,CrC,Compound::DB01210
Compound::DB00960,CrC,Compound::DB00264
Compound::DB00968,CrC,Compound::DB00988
Compound::DB00945,CrC,Compound::DB00507
Compound::DB00938,CrC,Compound::DB00598
Compound::DB00758,CrC,Compound::DB06209
Compound::DB00436,CrC,Compound::DB00606
Compound::DB00275,CrC,Compound::DB01349
Compound::DB01023,CrC,Compound::DB00622
Compound::DB01162,CrC,Compound::DB00457
Compound::DB00839,CrC,Compound::DB00672
Compound::DB08954,CrC,Compound::DB01244
Compound::DB01067,CrC,Compound::DB00222
Compound::DB00808,CrC,Compound::DB00776
Compound::DB00168,CrC,Compound::DB00881
Compound::DB00575,CrC,Compound::DB00586
Compound::DB01136,CrC,Compound::DB08807
Compound::DB00706,CrC,Compound::DB00887
Compound::DB00678,CrC,Compound::DB00796
Compound::DB00968,CrC,Compound::DB01064
Compound::DB00519,CrC,Compound::DB00178
Compound::DB00187,CrC,Compound::DB01050
Compound::DB00412,CrC,Compound::DB08800
Compound::DB00722,CrC,Compound::DB00168
Compound::DB00968,CrC,Compound::DB00668
Compound::DB00661,CrC,Compound::DB00662
Compound::DB00731,CrC,Compound::DB00584
Compound::DB01289,CrC,Compound::DB01016
Compound::DB01359,CrC,Compound::DB01210
Compound::DB01244,CrC,Compound::DB00792
Compound::DB00275,CrC,Compound::DB01029
Compound::DB01115,CrC,Compound::DB04920
Compound::DB00519,CrC,Compound::DB00168
Compound::DB06262,CrC,Compound::DB00968
Compound::DB01324,CrC,Compound::DB00774
Compound::DB00373,CrC,Compound::DB01210
Compound::DB01132,CrC,Compound::DB00412
Compound::DB01180,CrC,Compound::DB00206
Compound::DB08811,CrC,Compound::DB00661
Compound::DB00373,CrC,Compound::DB01359
Compound::DB00373,CrC,Compound::DB08808
Compound::DB01244,CrC,Compound::DB01231
Compound::DB00700,CrC,Compound::DB01380
Compound::DB00999,CrC,Compound::DB00562
Compound::DB01251,CrC,Compound::DB01016
Compound::DB00384,CrC,Compound::DB00555
Compound::DB00722,CrC,Compound::DB01340
Compound::DB00393,CrC,Compound::DB01115
Compound::DB00195,CrC,Compound::DB00264
Compound::DB01011,CrC,Compound::DB00627
Compound::DB00796,CrC,Compound::DB08822
Compound::DB00489,CrC,Compound::DB00264
Compound::DB01098,CrC,Compound::DB08860
Compound::DB00421,CrC,Compound::DB00894
Compound::DB00178,CrC,Compound::DB00881
Compound::DB00945,CrC,Compound::DB00936
Compound::DB00310,CrC,Compound::DB00808
Compound::DB01120,CrC,Compound::DB01016
Compound::DB08941,CrC,Compound::DB00598
Compound::DB00421,CrC,Compound::DB00603
Compound::DB00178,CrC,Compound::DB01252
Compound::DB00796,CrC,Compound::DB01411
Compound::DB00813,CrC,Compound::DB00881
Compound::DB00571,CrC,Compound::DB00521
Compound::DB01615,CrC,Compound::DB00343
Compound::DB01325,CrC,Compound::DB00524
Compound::DB06691,CrC,Compound::DB00343
Compound::DB01121,CrC,Compound::DB01018
Compound::DB00519,CrC,Compound::DB00790
Compound::DB00178,CrC,Compound::DB00168
Compound::DB06712,CrC,Compound::DB00622
Compound::DB01009,CrC,Compound::DB00598
Compound::DB00731,CrC,Compound::DB00168
Compound::DB00999,CrC,Compound::DB00880
Compound::DB06691,CrC,Compound::DB00412
Compound::DB00421,CrC,Compound::DB00769
Compound::DB00994,CrC,Compound::DB00284
Compound::DB00571,CrC,Compound::DB00476
Compound::DB00421,CrC,Compound::DB01380
Compound::DB00584,CrC,Compound::DB01348
Compound::DB00195,CrC,Compound::DB01193
Compound::DB01151,CrC,Compound::DB00542
Compound::DB00722,CrC,Compound::DB00584
Compound::DB01023,CrC,Compound::DB04920
Compound::DB01001,CrC,Compound::DB01203
Compound::DB01591,CrC,Compound::DB00542
Compound::DB00528,CrC,Compound::DB00622
Compound::DB01395,CrC,Compound::DB00421
Compound::DB00178,CrC,Compound::DB00542
Compound::DB01324,CrC,Compound::DB00999
Compound::DB00571,CrC,Compound::DB01182
Compound::DB00178,CrC,Compound::DB00790
Compound::DB00464,CrC,Compound::DB01083
Compound::DB00796,CrC,Compound::DB01349
Compound::DB01120,CrC,Compound::DB00634
Compound::DB00722,CrC,Compound::DB00492
Compound::DB01124,CrC,Compound::DB01032
Compound::DB04877,CrC,Compound::DB00206
Compound::DB00401,CrC,Compound::DB00622
Compound::DB00966,CrC,Compound::DB00796
Compound::DB01023,CrC,Compound::DB06712
Compound::DB00195,CrC,Compound::DB00612
Compound::DB00808,CrC,Compound::DB00887
Compound::DB00528,CrC,Compound::DB01115
Compound::DB00695,CrC,Compound::DB00808
Compound::DB00584,CrC,Compound::DB00542
Compound::DB00722,CrC,Compound::DB00178
Compound::DB00571,CrC,Compound::DB00857
Compound::DB00270,CrC,Compound::DB01115
Compound::DB00983,CrC,Compound::DB00598
Compound::DB00672,CrC,Compound::DB00222
Compound::DB01324,CrC,Compound::DB00880
Compound::DB09000,CrC,Compound::DB00343
Compound::DB00856,CrC,Compound::DB00187
Compound::DB00175,CrC,Compound::DB00641
Compound::DB01359,CrC,Compound::DB01203
Compound::DB00195,CrC,Compound::DB01297
Compound::DB01120,CrC,Compound::DB00222
Compound::DB00813,CrC,Compound::DB01244
Compound::DB01021,CrC,Compound::DB00774
Compound::DB00270,CrC,Compound::DB00381
Compound::DB00275,CrC,Compound::DB00796
Compound::DB00232,CrC,Compound::DB00880
Compound::DB00731,CrC,Compound::DB01121
Compound::DB00421,CrC,Compound::DB06710
Compound::DB00571,CrC,Compound::DB00874
Compound::DB01348,CrC,Compound::DB00881
Compound::DB00222,CrC,Compound::DB01289
Compound::DB00936,CrC,Compound::DB00627
Compound::DB01399,CrC,Compound::DB00598
Compound::DB00562,CrC,Compound::DB00436
Compound::DB00612,CrC,Compound::DB00264
Compound::DB06274,CrC,Compound::DB00542
Compound::DB00731,CrC,Compound::DB01252
Compound::DB00700,CrC,Compound::DB00624
Compound::DB00519,CrC,Compound::DB01340
Compound::DB00328,CrC,Compound::DB01039
Compound::DB00722,CrC,Compound::DB00881
Compound::DB00421,CrC,Compound::DB01185
Compound::DB00790,CrC,Compound::DB01348
Compound::DB01182,CrC,Compound::DB00187
Compound::DB00381,CrC,Compound::DB00622
Compound::DB00790,CrC,Compound::DB01340
Compound::DB00508,CrC,Compound::DB00343
Compound::DB01244,CrC,Compound::DB00865
Compound::DB00178,CrC,Compound::DB00584
Compound::DB01288,CrC,Compound::DB00598
Compound::DB06203,CrC,Compound::DB08882
Compound::DB00320,CrC,Compound::DB01200
Compound::DB00777,CrC,Compound::DB00343
Compound::DB01120,CrC,Compound::DB00672
Compound::DB00945,CrC,Compound::DB01399
Compound::DB00731,CrC,Compound::DB01340
Compound::DB00700,CrC,Compound::DB06710
Compound::DB00421,CrC,Compound::DB00700
Compound::DB00622,CrC,Compound::DB01054
Compound::DB00691,CrC,Compound::DB00790
Compound::DB00310,CrC,Compound::DB01511
Compound::DB00204,CrC,Compound::DB00412
Compound::DB01036,CrC,Compound::DB00598
Compound::DB01244,CrC,Compound::DB08990
Compound::DB00519,CrC,Compound::DB01252
Compound::DB00874,CrC,Compound::DB00960
Compound::DB01064,CrC,Compound::DB00960
Compound::DB00774,CrC,Compound::DB00880
Compound::DB01297,CrC,Compound::DB00264
Compound::DB00571,CrC,Compound::DB01580
Compound::DB01340,CrC,Compound::DB00542
Compound::DB00672,CrC,Compound::DB00181
Compound::DB00275,CrC,Compound::DB00678
Compound::DB00227,CrC,Compound::DB00641
Compound::DB00731,CrC,Compound::DB01348
Compound::DB00874,CrC,Compound::DB01136
Compound::DB00612,CrC,Compound::DB01193
Compound::DB01021,CrC,Compound::DB00436
Compound::DB01609,CrC,Compound::DB00796
Compound::DB00968,CrC,Compound::DB06707
Compound::DB01023,CrC,Compound::DB01115
Compound::DB00960,CrC,Compound::DB00335
Compound::DB01095,CrC,Compound::DB08860
Compound::DB00571,CrC,Compound::DB00423
Compound::DB01067,CrC,Compound::DB01289
Compound::DB01210,CrC,Compound::DB01203
Compound::DB08797,CrC,Compound::DB00598
Compound::DB01297,CrC,Compound::DB00187
Compound::DB00310,CrC,Compound::DB00186
Compound::DB00346,CrC,Compound::DB00590
Compound::DB00584,CrC,Compound::DB00168
Compound::DB00519,CrC,Compound::DB00542
Compound::DB00232,CrC,Compound::DB00774
Compound::DB00346,CrC,Compound::DB00457
Compound::DB00968,CrC,Compound::DB01235
Compound::DB00275,CrC,Compound::DB01342
Compound::DB00691,CrC,Compound::DB01340
Compound::DB00393,CrC,Compound::DB00381
Compound::DB00192,CrC,Compound::DB00598
Compound::DB00264,CrC,Compound::DB01580
Compound::DB01120,CrC,Compound::DB01289
Compound::DB00881,CrC,Compound::DB00598
Compound::DB00584,CrC,Compound::DB01340
Compound::DB00195,CrC,Compound::DB00866
Compound::DB00813,CrC,Compound::DB00542
Compound::DB00960,CrC,Compound::DB08808
Compound::DB00571,CrC,Compound::DB01214
Compound::DB00275,CrC,Compound::DB00177
Compound::DB00393,CrC,Compound::DB00622
Compound::DB00691,CrC,Compound::DB00843
Compound::DB00401,CrC,Compound::DB01054
Compound::DB00519,CrC,Compound::DB00492
Compound::DB01359,CrC,Compound::DB01580
Compound::DB00999,CrC,Compound::DB00774
Compound::DB00177,CrC,Compound::DB01342
Compound::DB01083,CrC,Compound::DB06689
Compound::DB01067,CrC,Compound::DB01016
Compound::DB00187,CrC,Compound::DB01193
Compound::DB00960,CrC,Compound::DB01193
Compound::DB00960,CrC,Compound::DB01210
Compound::DB00381,CrC,Compound::DB06712
Compound::DB00968,CrC,Compound::DB00233
Compound::DB00573,CrC,Compound::DB00887
Compound::DB01124,CrC,Compound::DB00222
Compound::DB00270,CrC,Compound::DB00622
Compound::DB00696,CrC,Compound::DB01200
Compound::DB00726,CrC,Compound::DB00542
Compound::DB00584,CrC,Compound::DB00881
Compound::DB01614,CrC,Compound::DB00343
Compound::DB00491,CrC,Compound::DB00419
Compound::DB01124,CrC,Compound::DB01289
Compound::DB00195,CrC,Compound::DB00960
Compound::DB00612,CrC,Compound::DB00960
Compound::DB01392,CrC,Compound::DB00206
Compound::DB01244,CrC,Compound::DB01616
Compound::DB00195,CrC,Compound::DB00187
Compound::DB00393,CrC,Compound::DB00401
Compound::DB00672,CrC,Compound::DB01289
Compound::DB01244,CrC,Compound::DB08799
Compound::DB01214,CrC,Compound::DB00187
Compound::DB00177,CrC,Compound::DB01029
Compound::DB00792,CrC,Compound::DB00412
Compound::DB00629,CrC,Compound::DB01018
Compound::DB01244,CrC,Compound::DB01176
Compound::DB01029,CrC,Compound::DB01349
Compound::DB00672,CrC,Compound::DB01016
Compound::DB00270,CrC,Compound::DB06712
Compound::DB01182,CrC,Compound::DB00598
Compound::DB00612,CrC,Compound::DB00187
Compound::DB01295,CrC,Compound::DB01136
Compound::DB01348,CrC,Compound::DB00542
Compound::DB01295,CrC,Compound::DB00661
Compound::DB01255,CrC,Compound::DB00598
Compound::DB08983,CrC,Compound::DB01039
Compound::DB01253,CrC,Compound::DB01200
Compound::DB00722,CrC,Compound::DB00542
Compound::DB00310,CrC,Compound::DB01068
Compound::DB00343,CrC,Compound::DB01228
Compound::DB00381,CrC,Compound::DB01054
Compound::DB00590,CrC,Compound::DB00457
Compound::DB00571,CrC,Compound::DB08998
Compound::DB00672,CrC,Compound::DB01032
Compound::DB01244,CrC,Compound::DB01075
Compound::DB01359,CrC,Compound::DB08808
Compound::DB01295,CrC,Compound::DB00187
Compound::DB01124,CrC,Compound::DB01067
Compound::DB00378,CrC,Compound::DB00421
Compound::DB01244,CrC,Compound::DB00647
Compound::DB00519,CrC,Compound::DB00722
Compound::DB00960,CrC,Compound::DB00187
Compound::DB00519,CrC,Compound::DB01348
Compound::DB00284,CrC,Compound::DB01172
Compound::DB01325,CrC,Compound::DB00999
Compound::DB00687,CrC,Compound::DB00700
Compound::DB00691,CrC,Compound::DB00542
Compound::DB00335,CrC,Compound::DB00264
Compound::DB00571,CrC,Compound::DB08807
Compound::DB00458,CrC,Compound::DB00542
Compound::DB00571,CrC,Compound::DB01359
Compound::DB01325,CrC,Compound::DB00310
Compound::DB00571,CrC,Compound::DB00960
Compound::DB00722,CrC,Compound::DB01348
Compound::DB00401,CrC,Compound::DB00381
Compound::DB00178,CrC,Compound::DB01340
Compound::DB00575,CrC,Compound::DB04948
Compound::DB00353,CrC,Compound::DB01200
Compound::DB01124,CrC,Compound::DB01120
Compound::DB00678,CrC,Compound::DB08822
Compound::DB00175,CrC,Compound::DB00227
Compound::DB00401,CrC,Compound::DB01115
Compound::DB00178,CrC,Compound::DB00492
Compound::DB00571,CrC,Compound::DB00866
Compound::DB00758,CrC,Compound::DB00208
Compound::DB00284,CrC,Compound::DB00479
Compound::DB00270,CrC,Compound::DB04920
Compound::DB00867,CrC,Compound::DB00598
Compound::DB00477,CrC,Compound::DB00343
Compound::DB00968,CrC,Compound::DB00765
Compound::DB00839,CrC,Compound::DB01289
Compound::DB00310,CrC,Compound::DB00524
Compound::DB00960,CrC,Compound::DB00866
Compound::DB00966,CrC,Compound::DB08822
Compound::DB00401,CrC,Compound::DB01023
Compound::DB00575,CrC,Compound::DB00484
Compound::DB01144,CrC,Compound::DB00880
Compound::DB00945,CrC,Compound::DB08797
Compound::DB00401,CrC,Compound::DB00528
Compound::DB00881,CrC,Compound::DB00542
Compound::DB01095,CrC,Compound::DB01076
Compound::DB00206,CtD,Disease::DOID:10763
Compound::DB00960,CtD,Disease::DOID:10763
Compound::DB00808,CtD,Disease::DOID:10763
Compound::DB01244,CtD,Disease::DOID:10763
Compound::DB01275,CtD,Disease::DOID:10763
Compound::DB00401,CtD,Disease::DOID:10763
Compound::DB00222,CtD,Disease::DOID:9352
Compound::DB01023,CtD,Disease::DOID:10763
Compound::DB00491,CtD,Disease::DOID:9352
Compound::DB00661,CtD,Disease::DOID:6364
Compound::DB00177,CtD,Disease::DOID:3393
Compound::DB01098,CtD,Disease::DOID:3393
Compound::DB01197,CtD,Disease::DOID:418
Compound::DB01029,CtD,Disease::DOID:10763
Compound::DB01170,CtD,Disease::DOID:10763
Compound::DB00641,CtD,Disease::DOID:3393
Compound::DB00178,CtD,Disease::DOID:9744
Compound::DB01120,CtD,Disease::DOID:9352
Compound::DB00270,CtD,Disease::DOID:10763
Compound::DB00226,CtD,Disease::DOID:10763
Compound::DB00492,CtD,Disease::DOID:10763
Compound::DB00973,CtD,Disease::DOID:1936
Compound::DB00775,CtD,Disease::DOID:3393
Compound::DB00876,CtD,Disease::DOID:10763
Compound::DB08816,CtD,Disease::DOID:3393
Compound::DB00178,CtD,Disease::DOID:10763
Compound::DB00331,CtD,Disease::DOID:9352
Compound::DB00691,CtD,Disease::DOID:10763
Compound::DB00331,CtD,Disease::DOID:11612
Compound::DB00195,CtD,Disease::DOID:1686
Compound::DB00880,CtD,Disease::DOID:10763
Compound::DB00695,CtD,Disease::DOID:12930
Compound::DB08860,CtD,Disease::DOID:3393
Compound::DB00678,CtD,Disease::DOID:10763
Compound::DB00678,CtD,Disease::DOID:3393
Compound::DB01197,CtD,Disease::DOID:10763
Compound::DB01261,CtD,Disease::DOID:9352
Compound::DB00195,CtD,Disease::DOID:10763
Compound::DB00331,CtD,Disease::DOID:14221
Compound::DB00421,CtD,Disease::DOID:10763
Compound::DB00966,CtD,Disease::DOID:3393
Compound::DB00227,CtD,Disease::DOID:1936
Compound::DB00177,CtD,Disease::DOID:10763
Compound::DB00839,CtD,Disease::DOID:9352
Compound::DB01124,CtD,Disease::DOID:9352
Compound::DB00672,CtD,Disease::DOID:9352
Compound::DB00178,CtD,Disease::DOID:9352
Compound::DB00373,CtD,Disease::DOID:6364
Compound::DB01162,CtD,Disease::DOID:10763
Compound::DB01200,CtD,Disease::DOID:9352
Compound::DB01132,CtD,Disease::DOID:9352
Compound::DB01115,CtD,Disease::DOID:10763
Compound::DB01203,CtD,Disease::DOID:10763
Compound::DB00177,CtD,Disease::DOID:9352
Compound::DB00622,CtD,Disease::DOID:10763
Compound::DB01136,CtD,Disease::DOID:10763
Compound::DB01029,CtD,Disease::DOID:9352
Compound::DB00800,CtD,Disease::DOID:10763
Compound::DB00629,CtD,Disease::DOID:10763
Compound::DB00774,CtD,Disease::DOID:10763
Compound::DB00571,CtD,Disease::DOID:6364
Compound::DB00999,CtD,Disease::DOID:10763
Compound::DB00627,CtD,Disease::DOID:3393
Compound::DB00700,CtD,Disease::DOID:3393
Compound::DB00187,CtD,Disease::DOID:10763
Compound::DB00421,CtD,Disease::DOID:12930
Compound::DB00264,CtD,Disease::DOID:10763
Compound::DB00973,CtD,Disease::DOID:3393
Compound::DB00722,CtD,Disease::DOID:12930
Compound::DB00436,CtD,Disease::DOID:10763
Compound::DB00275,CtD,Disease::DOID:3393
Compound::DB00575,CtD,Disease::DOID:10763
Compound::DB00594,CtD,Disease::DOID:10763
Compound::DB00881,CtD,Disease::DOID:10763
Compound::DB00519,CtD,Disease::DOID:3393
Compound::DB00968,CtD,Disease::DOID:10763
Compound::DB00310,CtD,Disease::DOID:10763
Compound::DB01076,CtD,Disease::DOID:10763
Compound::DB00350,CtD,Disease::DOID:10763
Compound::DB00678,CtD,Disease::DOID:9352
Compound::DB00661,CtD,Disease::DOID:10763
Compound::DB00575,CtD,Disease::DOID:1686
Compound::DB00584,CtD,Disease::DOID:10763
Compound::DB01016,CtD,Disease::DOID:11714
Compound::DB00695,CtD,Disease::DOID:3393
Compound::DB01039,CtD,Disease::DOID:3393
Compound::DB01016,CtD,Disease::DOID:9352
Compound::DB01076,CtD,Disease::DOID:3393
Compound::DB00519,CtD,Disease::DOID:10763
Compound::DB01083,CtD,Disease::DOID:9970
Compound::DB00722,CtD,Disease::DOID:3393
Compound::DB01098,CtD,Disease::DOID:1936
Compound::DB00227,CtD,Disease::DOID:3393
Compound::DB04861,CtD,Disease::DOID:10763
Compound::DB00284,CtD,Disease::DOID:9352
Compound::DB01197,CtD,Disease::DOID:3393
Compound::DB01359,CtD,Disease::DOID:3393
Compound::DB00641,CtD,Disease::DOID:1936
Compound::DB01241,CtD,Disease::DOID:3393
Compound::DB01067,CtD,Disease::DOID:9352
Compound::DB00412,CtD,Disease::DOID:9352
Compound::DB00731,CtD,Disease::DOID:9352
Compound::DB00384,CtD,Disease::DOID:10763
Compound::DB00457,CtD,Disease::DOID:10763
Compound::DB00945,CtD,Disease::DOID:3393
Compound::DB00722,CtD,Disease::DOID:418
